halId_s,docType_s,doiId_s,title_s,authFullName_s,journalTitle_s,journalPublisher_s,conferenceTitle_s,publicationDateY_i,conferenceStartDateY_i,keyword_s
hal-03787512,COMM,,Knowledge Graph Embeddings for Link Prediction: Beware of Semantics!,"Nicolas Hubert,Pierre Monnin,Armelle Brun,Davy Monticolo",,,"DL4KG@ISWC 2022: Workshop on Deep Learning for Knowledge Graphs, held as part of ISWC 2022: the 21st International Semantic Web Conference",2022,2022,"Knowledge Graph Embeddings,Link Prediction,Rank-Based Metrics,Semantic-Oriented Metrics"
hal-03768154,COMM,,New Ontology and Knowledge Graph for University Curriculum Recommendation,"Nicolas Hubert,Armelle Brun,Davy Monticolo",,,ISWC 2022 - The 21st International Semantic Web Conference,2022,2022,"Knowledge Graph,Education,Ontology,Recommender System"
hal-03825207,ART,10.1155/2022/8903005,Chaotic Honeybees Optimization Algorithms Approach for Traveling Salesperson Problem,"Pedro Palominos,Carla Ortega,Miguel Alfaro,Guillermo Fuertes,Manuel Vargas,Mauricio Camargo,Victor Parada,Gustavo Gatica",Complexity,Wiley,,2022,,
hal-03781828,COUV,,Multi-Agent System and Ontology to Manage Ideas and Represent Knowledge: Creativity Challenge.,"Pedro Chávez Barrios,Davy Monticolo,Sahbi Sidhom",,,,2022,,"Multi-agent system MAS,Ontology,Intelligent system,Knowledge Organization,Creativity,Idea Creativity 48H"
hal-03978989,UNDEFINED,,Ontology-Based Representation of Digital Devices Used in Educational Guidance,"Marie Gribouval,Cecilia Zanni-Merk,Davy Monticolo",,,,2022,,"Ontology Digital Device Educational Guidance,Ontology,Digital Device,Educational Guidance"
hal-03722881,COMM,,New Strategies for Learning Knowledge Graph Embeddings: the Recommendation Case,"Nicolas Hubert,Pierre Monnin,Armelle Brun,Davy Monticolo",,,EKAW 2022 - 23rd International Conference on Knowledge Engineering and Knowledge Management,2022,2022,"Negative Sampling,Knowledge Graph Embedding,Recommendation,Link Prediction,Ontology"
tel-04061852,THESE,,"Design of innovation spaces in universities : a tool to support the management of Academy-Industry projects,Conception d'espaces d'innovation dans les universités : un outil pour aider à la gestion des projets Académie-Industrie",Lorena Delgado,,,,2022,,"Innovation spaces,Collaborative learning,Entrepreneurial university,Stage gate,Evaluation tool,Espaces d'innovation,Apprentissage collaboratif,Université entrepreneuriale,Stage Gate,Outil d'évaluation"
hal-03788738,BLOG,,"Le Réseau de Recherche sur l'Innovation\, acteur de l'innovation responsable","Fedoua Kasmi,Laurent Dupont",,,,2022,,
hal-03741917,ART,10.1177/09544054221113378,Feasibility study on the use of recycled materials for prototyping purposes: A comparative study based on the tensile strength,"Víctor López,Diego Carou,Fabio Cruz","Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",SAGE Publications,,2022,,"3D printing,Prototyping,Distributed recycling,Tensile strength,PLA"
hal-03998115,COMM,,INEDIT – Virtual co-Design Tools,"Benjamin Poussard,Laurent Dupont,Ivo Zeller",,,Creativity World Forum 2022,2022,2022,
hal-03720400,UNDEFINED,,Outline on situation-system energy togetherness: case-studies and open issues,"Frédérique Mayer,Jean-Pierre Hennebicq,Jean-Marc Dupont,Gérard Morel",,,,2022,,"Situation-system,Energy togetherness,Cyberneconduction,Interdisciplinary orchestration,Systems thinking,Systems engineering,System of systems"
hal-03720481,COMM,,Pilotage des flux de patients : apport de la quantification et de la simulation dans la pertinence des parcours,"Sarah Garidi,Auguste Rakotondranaivo,Julie Audouze,Julien Husson",,,11e Conférence Francophone en Gestion et Ingénierie des Systèmes Hospitaliers,2022,2022,
hal-03777860,PROCEEDINGS,,Actes CNIA 2022 : Conférence Nationale d'Intelligence Artificielle,"Zied Bouraoui,Valérie Camps,Éric Gaussier,Maxime Guériau,Christelle Launois,Nicolas Prcovic,Céline Rouveirol,Fatiha Saïs,François Schwarzentruber,Anaelle Wilczynski,Yves Demazeau,Thomas Guyet,Dominique Longin,Davy Monticolo,Ahmed Samet",,,,2022,,
hal-03787396,OTHER,,"General presentation of the 2022 IEEE 28th International Conference on Engineering\, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference","Mauricio Camargo,Laurent Dupont,Laure Morel",,,,2022,,"Management of technology,Engineering,Innovation,Social-Ecological Transitions,Open Community"
hal-03990118,COMM,10.1109/ice/itmc-iamot55089.2022.10033303,Multi-objective modelling of a roadside mowing problem,"Adriana-Simona Mihaita,Brunelle Marche,Mauricio Camargo,Iman Rahimi,Chirstophe Bachmann",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2023,2022,"Mowing,Multi-objective,Road maintenance,Kmeans,Road segmentation,Optimal routing"
hal-03987410,COMM,10.1109/ICE/ITMC-IAMOT55089.2022.10033172,Comparison of Manufacturing/Remanufacturing CO 2 emissions balance: application to a mowing machine,"Brunelle Marche,Diego Nicolas Parrado Rodriguez,Olivier Chery,Mauricio Camargo,Bachmann Christophe",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2022,2022,"Remanufacturing,Life cycle assessment process,Circular economy,CO2 emission,Mowing machine"
hal-03990945,COMM,10.1109/ICE/ITMC-IAMOT55089.2022.10033174,Towards a Protocol for Preference Evaluation of Cosmetic Products Using Physiological Sensors,"Javier Miranda-Mellado,Juliana Serna,Giovanny Arbelaez Garces,Javier A Arrieta-Escobar,Véronique Sadtler,Mathieu Kacha",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2022,2022,"Preference,Cosmetic products,Physiological measurements,Sensorial evaluation,Protocol,Application guide"
hal-03987377,COMM,10.1109/ICE/ITMC-IAMOT55089.2022.10033169,Joint-design of products and supply chain in a context of innovation,"Brunelle Marche,Vincent Boly,J. Roland Ortt,Laure Morel",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2022,2022,"Innovation process,Innovation,Supply chain,Complexity,New paradigm"
hal-03724843,COMM,10.1109/ICE/ITMC-IAMOT55089.2022.10033137,Unfolding innovation lab services in public hospitals: a hospital FabLab case study,"Ambre Scarmoncin,Clothilde Portelli,Ferney Osorio,Guillaume Eckerlein",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2022,2022,"Public hospital,Health institution,Innovation,Design thinking,FabLab"
hal-03783608,COMM,10.1109/ICE/ITMC-IAMOT55089.2022.10033258,An investigation of design in virtual reality across the variation of training degree and visual realism,"Sylvain Fleury,Laurent Dupont,Noémie Chaniaud,Saadallah Tamazart,Benjamin Poussard,Geoffrey Gorisse,Simon Richir",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2022,2022,"Immersive technologies,Creativity,Visual representation,Immersion intensity"
hal-03783530,COMM,,Implementing the systemic approach supporting territorial resilience: the case of the 'Toile' tool,"Mathilde Schwob,Fedoua Kasmi,Laurent Dupont,Jean-François Vereecke,Claudine Guidat",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2022,2022,"Resilience of territories,Indicators,Systemic approach,The 'Toile' tool"
hal-04021534,COMM,10.1109/ICE/ITMC-IAMOT55089.2022.10033153,Assessment Model to Support the Technological Integration within Industrial Companies in the Context of Industry 4.0,"Neal Widmer,Alaa Hassan,Davy Monticolo",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2023,2022,"Technological integration technological maturity process maturity Industry 40,Technological integration,Technological maturity,Process maturity,Industry 40"
hal-03871962,COMM,,"Open innovation\, technologies & communities as enablers of socio-economical transition","Laurent Dupont,Fabio Cruz,Ferney Osorio,Mauricio Camargo,Mehera Hassan,Marianne Hörlesberger,Robert Mies,Benjamin Poussard,Chandana Ratnayake,Manuel Sánchez de la Asunción,Waldo Soto Bruna",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference ©",2022,2022,"Management of technology,Engineering,Innovation,Social-Ecological Transitions,Open Community"
hal-03787374,COMM,,Collaborative networks between innovation spaces,"Fanny Pruvot,Laurent Dupont,Laure Morel",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2022,2022,"Innovation Spaces,Collaborative network,Literature review,Dimensions"
hal-03987390,COMM,10.1109/ICE/ITMC-IAMOT55089.2022.10033185,Identification of sensor technologies with the potential to support roadside ecosystem services,"Corrigeux Brice,Marche Brunelle,Camargo Mauricio,Bachmann Christophe,Chaudron Clemence",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2022,2022,"Sensors,Roadsides,Management,Ecosystem services,Environment"
hal-03787375,COMM,,Contribute to Open Science with Research-based Learning: Explorative Research Action Study applied to Peer-to-Peer Energy Trading,"Alex Gabriel,Laurent Dupont",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2022,2022,"Open science,Pedagogical engineering,Peer to peer energy trading"
hal-03992357,COMM,10.1109/ICE/ITMC-IAMOT55089.2022.10033301,From need to requirement: a methodological contribution,"Vincent Boly,Brunelle Marche,Frédérique Mayer,Davy Monticolo,Manon Enjolras",,,"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",2022,2022,"Innovation,Need,Dependency,Resource problem,Requirement,Systemic model"
hal-03619993,ART,10.1016/j.forpol.2022.102716,Embedding non-industrial private forest owners in forest policy and bioeconomy issues using a Living Lab concept,"Maxence Arnould,Laure Morel,Meriem Fournier",Forest Policy and Economics,Elsevier,,2022,,"Living Lab,Action research,French forest policy,Wood mobilization"
hal-03718861,OTHER,,Cas d'usage projet Inn'Cognitif,Anaëlle Hily,,,,2022,,"Réalité virtuelle,Réalité étendue,Cognition spatiale,Immersion,Living Lab,Mesures physiologiques,Interface Homme-Machine"
hal-03641116,UNDEFINED,,Sur quelques aspects de la relativité restreinte,"Christian Fonteix,Badie Morsi,Dimitrios Meimaroglou,Mauricio Camargo",,,,2022,,
hal-03548133,ART,10.1016/j.techfore.2022.121489,Relationship between innovation and exports in enterprises: A support tool for synergistic improvement plans,"Camila Muñoz,Daniel Galvez,Manon Enjolras,Mauricio Camargo,Miguel Alfaro",Technological Forecasting and Social Change,Elsevier,,2022,,"Innovation capability,Export capability,Assessment model,Synergy effects"
hal-03602328,ART,10.1007/s00170-022-08999-3,Modeling and evaluation of freeform extruded filament based on numerical simulation method for direct ink writing,"Yongqiang Tu,Alaa Hassan,Javier Arrieta-Escobar,Uzair Khaleeq Uz Zaman,Ali Siadat,Gongliu Yang",International Journal of Advanced Manufacturing Technology,Springer Verlag,,2022,,"Modeling,Evaluation,Numerical simulation,Freeform extruded filament,Direct ink writing"
hal-03683843,ART,10.3917/proj.hs03.0107,Approche systémique de l’évaluation des impacts d’une innovation : application à la mise en place d’un infirmier de liaison au Centre Hospitalier de Luxembourg,"Alexandre Annoot,Auguste Rakotondranaivo",Projectics / Proyéctica / Projectique,De Boeck Supérieur,,2022,,"Évaluation,Impacts,Infirmier de liaison,Systémique"
hal-03683842,COUV,,La résilience hospitalière à l’épreuve de la Covid. Portrait de David Larivière.,Auguste Rakotondranaivo,,,,2022,,
hal-03597279,ART,10.1016/j.jcomc.2022.100240,Non-linear vibration analysis of visco-elastically damped composite structures by multilevel finite elements and asymptotic numerical method,"Guillaume Robin,El Mostafa Daya,Hakim Boudaoud,Elias Belouettar-Mathis,Ahmed Makradi,Salim Belouettar",Composites Part C: Open Access,Elsevier,,2022,,"Vibrations,Damping,Multiscale finite element method FE2,Asymptotic Numerical Method,Nonlinear homogenization,Automatic differentiation"
hal-03559471,COMM,,"Vers un système de recommandation explicable pour l'orientation scolaire,Towards an Explainable Recommender System for Educational Guidance","Nicolas Hubert,Armelle Brun,Davy Monticolo",,,Workshop EXPLAIN'AI - EGC Blois 2022,2022,2022,
hal-03540148,ART,10.14733/cadaps.2022.868-878,Innovative Process for Furniture Design: Contributions of 3D Scan and Virtual Reality,"Sylvain Fleury,Benjamin Poussard,Philippe Blanchard,Laurent Dupont,Peter Meister Broekema,Simon Richir",Computer-Aided Design and Applications,CAD Solutions LLC (imprimé) and Taylor & Francis Online (en ligne),,2022,,"Furniture design,Virtual reality,Computer Aided-Design,Innovation process,User eXperience"
hal-03573059,ART,10.1007/s11837-021-05051-9,General Methodology to Investigate the Effect of Process Parameters on the Vibration Properties of Structures Produced by Additive Manufacturing Using Fused Filament Fabrication,"Fangkai Xue,Guillaume Robin,Hakim Boudaoud,Fabio Cruz,El Mostafa Daya","JOM Journal of the Minerals, Metals and Materials Society",Springer Verlag (Germany),,2022,,
hal-04004385,REPORT,,"Synthèse de l'enquête GDR MACS et Intelligence Artificielle (IA) : Cartographie des techniques utilisées\, des domaines et objets de recherche concernés,Synthesis of the survey ""GDR MACS and Artificial Intelligence (AI)"": Mapping of the techniques used\, the domains and research objects concerned","Eric Bonjour,Laurent Geneste,Damien Trentesaux,Vincent Cheutet,Olivier Cardin,Samir Lamouri,Bernard Grabot",,,,2022,,"GDR MACS,Artificial Intelligence,Production of goods and services,System control"
hal-03538851,ART,10.1002/aic.17563,Triggers for chemical product design: A systematic literature review,"Jose Luis Rivera Gil,Juliana Serna,Javier Arrieta-Escobar,Paulo César Narváez Rincón,Vincent Boly,Véronique Falk",AIChE Journal,Wiley,,2022,,
halshs-03793998,ART,10.21494/ISTE.OP.2022.0847,"Analyzing responsible innovation: an illustrative application to the case of the Research Network on Innovation,Analyse de l’innovation responsable : une application illustrative au cas du Réseau de Recherche sur l’Innovation","Fedoua Kasmi,Laurent Dupont",Technologie et innovation,ISTE OpenScience,,2022,,
hal-03753961,ART,,"DEEP\, a methodology for entity extraction using organizational patterns: application to job offers","Halima Ramdani,Armelle Brun,Eric Bonjour,Davy Monticolo",Knowledge-Based Systems,Elsevier,,2022,,"Entity extraction,Organizational patterns,Methodology Sequence labelling,Recurrent neural network,Job offer entity extraction"
hal-03511688,ART,10.1016/j.clet.2022.100397,"Social\, political\, and technological dimensions of the sustainability evaluation of a recycling network. A literature review","Pavlo Santander,Fabio Cruz,Hakim Boudaoud,Mauricio Camargo",Cleaner Engineering and Technology,Elsevier Ltd.,,2022,,"Cleaner Engineering and Technology Recycling,Closed Loop Supply Chain,Reverse Supply Chain,Reverse Logistics,Sustainability indicators,Social dimension,Technological dimension,Political dimension"
hal-02845177,ART,10.1504/IJBIS.2020.10029802,Towards an improved acceptability assessment model of innovative solutions in the design phase,"Linda Stefany Acosta Salgado,Auguste Rakotondranaivo,Eric Bonjour",International Journal of Business Information Systems,Inderscience,,2022,,"Technology Acceptance Model,User-centred design,Evaluation,Acceptability,Innovation"
hal-03590438,ART,10.3917/jie.pr1.0113,Innovation Spaces as Drivers of Eco-innovations Supporting the Circular Economy: A Systematic Literature Review,"Fedoua Kasmi,Ferney Osorio,Laurent Dupont,Brunelle Marche,Mauricio Camargo",Journal of Innovation Economics & Management,De Boeck Supérieur,,2022,,"Systematic Literature Review,Sustainability,Innovation Spaces,Eco-Innovation,Circular Economy"
hal-03685241,ART,10.1504/IJEV.2022.122639,Evaluation of tech ventures' evolving business models: rules for performance-related classification,"Marc König,Manon Enjolras,Christina Ungerer,Mauricio Camargo,Guido Baltes",International Journal of Entrepreneurial Venturing,Inderscience,,2022,,"Network theory,Business model,Life cycle,RST,Rough set theory,PCA,Principal component analysis,Tech ventures"
hal-03642366,ART,10.1080/16258312.2022.2064721,Agile supply chain analytic approach: a case study combining agile and CRISP-DM in an end-to-end supply chain,"Fatima-Ezzahra Hamdani,Ivan Andres Quintero Quintero,Manon Enjolras,Mauricio Camargo,Davy Monticolo,Christelle Lelong",Supply Chain Forum: An International Journal,Kedge Business School,,2022,,
hal-03506898,ART,10.1108/IJLSS-10-2020-0163,Toward a holistic understanding of performance in Lean Manufacturing: a discussion on the relevance of its indicators,"Diana Cardenas-Cristancho,Laurent Muller,Davy Monticolo,Mauricio Camargo",International Journal of Lean Six Sigma,Emerald Publishing,,2021,,
tel-03653039,THESE,,"Management of innovation labs : an enabling methodological approach for strategic intent design,Gestion des laboratoires d’innovation : Une approche méthodologique pour la conception de l’intention stratégique",Ferney Osorio,,,,2021,,"Innovation lab,Strategic intent,Strategic management,Multi-Case study,Action research,Assessment,Laboratoire d'innovation,Intention stratégique,Gestion stratégique,Étude de cas multiples,Recherche-Action,Évaluation"
tel-03703590,THESE,,"Construction d’un cadre de référence méthodologique pour piloter des Living Labs forestiers,Construction of a methodological reference framework for piloting Forestry Livings Labs",Maxence Arnould,,,,2021,,"Living Lab,Forest policy,Forestry issues and challenges,Living Lab,Politique forestière,Enjeux et défis forestiers"
hal-03506100,COUV,,Do-It-Together”: Towards the Factories of the Future,"Laurent Dupont,Fedoua Kasmi,Joshua M. M Pearce,Roland Ortt",,,,2021,,
hal-03641801,ART,10.3917/jie.pr1.0121,Innovation Capacity of City Administrations: A Best Practices Approach,"Vincent Boly,Manon Enjolras,Severine Husson,Laure Morel,Laurent Dupont,Lina Benis",Journal of Innovation Economics & Management,De Boeck Supérieur,,2021,,
hal-03933911,COMM,,"Crise Covid-19 : Quelques apports des communautés Open Source et Scientifique (Ingénierie de l’innovation),Covid-19 Crisis: Some contributions from the Open Source and Scientific communities (Innovation Engineering)",Laurent Dupont,,,Assemblée Générale du pôle scientifique EMPP,2021,2021,"Covid-19,Open Community,Fab Living Lab"
hal-03551585,COMM,10.1109/ICSC50472.2021.9666597,Optimal Design of Energy Systems in Isolated Zones Using Sustainability Indicators. A Case Study in the Colombian Amazon,"Juan Fonseca,Jean-Marc Commenge,Mauricio Camargo,Laurent Falk,Ivan Gil",,,2021 9th International Conference on Systems and Control (ICSC),2021,2021,
hal-03640892,OTHER,,"Fabrication collaborative : Retour d'expérience par un fablab - Lorraine Fab Living Lab [Webinaire],Collaborative manufacturing: Feedback from a fablab - Lorraine Fab Living Lab [Webinaire]",Laurent Dupont,,,,2021,,
hal-03472038,COMM,,La recherche en communication persuasive des organisations,"Sébastien Genvo,Laurent Dupont,Fedoua Kasmi,Benoît Grasser,Gordy Pleyers,Benoît Lung",,,Table ronde dans le cadre de l'École thématique d’excellence – Faire de la recherche en communication persuasive,2021,2021,
hal-03411558,ART,10.3390/math9212750,Vehicle Routing Problem with Deadline and Stochastic Service Times: Case of the Ice Cream Industry in Santiago City of Chile,"Sebastián Dávila,Miguel Alfaro,Guillermo Fuertes,Manuel Vargas,Mauricio Camargo",Mathematics,MDPI,,2021,,"M supply chain management,Optimization,Vehicle routing problem,Chaotic search,Tabu search"
hal-03478044,COMM,,"Assessment Methods to ICT Platform Used in Educational Guidance: Application to an Immersive World,Méthodes d'évaluation de plateforme numérique utilisée dans l'orientation scolaire : application à un monde immersif","Marie Gribouval,Davy Monticolo,Cecilia Zanni-Merk,Dimitri Sydor-Vienne",,,Ireland International Conference on Education,2021,2021,
hal-03033524,ART,10.1002/cjce.23956,Chemical product design integrating MCDA : Performance prediction and human preferences modelling,"Oscar Yesid Suárez Palacios,Paulo César Narváez Rincón,Mauricio Camargo,Jean-Pierre Corriou,Christian Fonteix",The Canadian Journal of Chemical Engineering,,,2021,,"Chemical product design,Glycerol esters,PVC plasticizers,Design methodology,MCDA"
hal-03365471,COMM,,Promoting Physical Activity for Elderly People: Towards a Hybrid Coaching?,"Jérôme Dinet,Rui Nouchi,Kohei Sakaki,Laurent Dupont,Laure Coudrat,François Charpillet",,,ERGO'IA 2021,2021,2021,"E-coach,Physical activity,Elderly people,Qualitative study,Attitudes"
hal-03372649,COMM,,Co-construction et évaluation en amont de l’acceptabilité des projets. Application à la fusion des établissements de santé,"Nathalie Rouyer,Auguste Rakotondranaivo,Julien Husson",,,6th International Conference on PROject & LOGistics - PROLOG,2021,2021,
hal-03425896,COUV,,"Governance\, decision-making\, and strategy for urban development","Didier Grimaldi,Eula Bianca Villar,Laurent Dupont,Jose M. Sallan,Carlos Carrasco-Farré",,,,2021,,"Ata-Driven Strategy,Smart City,Decision-making"
hal-03423250,COMM,10.35199/EPDE.2021.93,INNOVATION MANAGEMENT: A NEW SERIOUS GAME ALIGNED WITH ISO 56002:2019 - INNOVATION MANAGEMENT SYSTEM,"Laure Morel,Johan Claire",,,23rd International Conference on Engineering and Product Design Education,2021,2021,
hal-03452552,COMM,,"Importance of\, and how to increase\, the relevancy and impact of a terminology standard: Case of ISO 56000 innovation Management -Fundamentals and Vocabulary:2020,L'importance et la manière d'accroître la pertinence et l'impact d'une norme terminologique : Cas de la norme ISO 56000 Management de l'innovation - Fondements et vocabulaire:2020","Alice de Bigault de Casanove,Fred Gault,Magnus Hakvåg",,,"25th EURAS Annual Standardisation Conference – Standardisation and Innovation – 11th International Conference on Standardisation and Innovation in Information Technology (SIIT) – The Past, Present and FUTURE of ICT Standardisation –",2021,2021,
hal-03325870,COMM,,The new forest commons: Commons re-development and their transformative potential from a territorial perspective,"Jonathan Lenglet,Juliana Serna Rodas,Maxence Arnould,Michael Ricchetti,Sylvie Lardon",,,ERSA 60th Congress,2021,2021,
hal-03431919,REPORT,,"Rapport scientifique du Projet « Inn-Cognitif - Innovation\, Cognition\, Immersion : Apports de la prise en compte de la dimension cognitive dans les expériences d’usage en situation virtuelle ou réelle » porté par Dr. DUPONT Laurent pôle EMPP - (labo ERPI) et pôle secondaire CLCS (labo 2LPN) dans le cadre du dispositif Appel à projets de l'UL - Interdisciplinarité 2019,Scientific report of the project ""Inn-Cognitive - Innovation\, Cognition\, Immersion: Contributions of the consideration of the cognitive dimension in the experiences of use in virtual or real situation"" lead by Dr. DUPONT Laurent pôle EMPP - (ERPI) et pôle secondaire CLCS (2LPN) (2LPN) - Université de Lorraine Call for projects: Interdisciplinarity 2019","Laurent Dupont,Anaëlle Hily,Christel Jacob,Giovanny Arbelaez Garces,Mauricio Camargo,Jérôme Dinet",,,,2021,,"Innovation,Cognition spatiale,Immersion,Réalité virtuelle,Living Lab,Méthode expérimentale,Interdisciplinarité,Interactions Homme-Machine,Mesures psychophysiologiques"
hal-03285670,COMM,,Making the strategic intent of innovation labs operational: A process perspective on the case of the Lorraine Fab Living Lab,"Ferney Osorio,Laurent Dupont,Mauricio Camargo,José Ismael Peña",,,R&D Management Conference 2021,2021,2021,"Innovation lab,Strategic intent,Strategy-making,Case study"
hal-03640888,COMM,,INEDIT creates an Open Innovation community for co-design in furniture manufacturing,Laurent Dupont,,,Open Innovation Kongress Baden-Württemberg 2021,2021,2021,
hal-03546770,COMM,,Decision Support System for Online Recruitment,"Halima Ramdani,Davy Monticolo,Armelle Brun,Eric Bonjour",,,"ICIKS 2021 - Information and Knowledge Systems. Digital Technologies, Artificial intelligence and Decision Making",2021,2021,"E-recruitment,Parsing,Matching,Machine learning,Decision support system"
hal-03419773,COMM,10.1109/ICE/ITMC52061.2021.9570218,Explorative Implementation of Open-Source Peer-to-Peer Energy Trading Approaches,"Alex Gabriel,Rima Oulhaj,Laurent Dupont",,,27th ICE/IEEE International Technology Management Conference,2021,2021,"Smart Grids,P2P Energy Sharing,Optimisation,Centralised architecture,Multi-agent architecture"
